1|20|14|2026-08-01|2026-08-15|2026-08-10|da_tra
2|18|5|2026-07-29|2026-08-12|2026-08-16|da_tra
3|8|20|2026-03-06|2026-03-20||dang_muon
4|5|17|2026-01-21|2026-02-04||dang_muon
5|14|5|2026-06-25|2026-07-09||dang_muon
6|13|11|2026-08-10|2026-08-24|2026-08-26|da_tra
7|2|17|2026-01-17|2026-01-31||dang_muon
8|2|13|2026-02-06|2026-02-20||dang_muon
9|9|7|2026-04-09|2026-04-23|2026-04-15|da_tra
10|9|7|2026-03-11|2026-03-25||dang_muon
11|12|13|2026-07-19|2026-08-02|2026-07-29|da_tra
12|5|20|2026-03-02|2026-03-16|2026-03-11|da_tra
13|7|11|2026-03-12|2026-03-26||dang_muon
14|7|15|2026-04-27|2026-05-11||dang_muon
15|10|13|2026-04-06|2026-04-20|2026-04-21|da_tra
16|8|2|2026-01-17|2026-01-31||dang_muon
17|15|5|2026-06-26|2026-07-10|2026-07-16|da_tra
18|4|11|2026-08-11|2026-08-25|2026-08-31|da_tra
19|15|14|2026-05-06|2026-05-20|2026-05-11|da_tra
20|18|8|2026-01-22|2026-02-05||dang_muon
21|1|1|2026-08-21|2026-09-04|2026-08-30|da_tra
22|1|1|2026-08-21|2026-09-04|2026-08-30|da_tra
